model,accuracy,precision_samples,recall_samples,f1_score_samples,roc_auc_samples
cnn_base,0.0,0.08376289766399656,0.43065934065934064,0.1348085492041536,0.6197749931996726
cnn_upsample_0.25,0.0,0.08274725274725274,0.241025641025641,0.11794174079888366,0.5651826653384349
cnn_upsample_0.5,0.013186813186813187,0.8835164835164835,0.015018315018315017,0.01575091575091575,0.5056103644931919
cnn_upsample_0.75,0.0,0.28093331660946064,0.5498168498168499,0.0614740455473142,0.5223068886091117
cnn_upsample_1,0.002197802197802198,0.842816872669814,0.026373626373626374,0.009145066933656054,0.5007887905895496
cnn_downsample_0.25,0.002197802197802198,0.8846153846153846,0.01941391941391941,0.013699633699633697,0.5064650186151609
cnn_downsample_0.5,0.0,0.9934065934065934,0.0,0.0,0.499901079312844
cnn_downsample_0.75,0.02857142857142857,0.4087912087912088,0.05091575091575091,0.047619047619047616,0.5124144743618178
cnn_downsample_1,0.0,0.9626373626373627,0.002197802197802198,0.0029304029304029304,0.500545532898474
